
"QS419EW - Position in communal establishment"
"ONS Crown Copyright Reserved [from Nomis on 12 August 2018]"
"Population :","All usual residents in communal establishments"
"Units      :","Persons"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All categories: Position in communal establishment","Resident","Staff or owner","Family member or partner of staff or owner"
"SA10 9",54,54,0,0
"SA11 1",40,34,4,2
"SA11 2",30,30,0,0
"SA11 3",238,217,10,11
"SA11 4",0,0,0,0
"SA11 5",37,31,2,4
"SA12 6",114,101,3,10
"SA12 7",12,12,0,0
"SA12 8",50,41,0,9
"SA12 9",35,35,0,0
"SA13 1",64,60,0,4
"SA13 2",3,2,1,0
"SA13 3",25,25,0,0
"SA14 6",112,89,0,23
"SA14 7",29,29,0,0
"SA14 8",165,128,13,24
"SA14 9",63,58,2,3
"SA15 1",138,123,0,15
"SA15 2",42,37,2,3
"SA15 3",131,118,10,3
"SA15 4",78,51,25,2
"SA15 5",6,6,0,0
"SA16 0",39,32,6,1
"SA17 4",24,24,0,0
"SA17 5",48,44,4,0
"SA18 1",59,53,0,6
"SA18 2",98,87,0,11
"SA18 3",211,197,6,8
"SA19 6",67,51,4,12
"SA19 7",30,22,8,0
"SA19 8",6,5,1,0
"SA19 9",7,0,5,2
"SA2  0",386,386,0,0
"SA2  7",1143,1140,1,2
"SA2  8",941,936,3,2
"SA2  9",228,190,26,12
"SA20 0",201,186,11,4
"SA3  1",37,33,1,3
"SA3  2",98,82,11,5
"SA3  3",70,51,18,1
"SA3  4",118,93,13,12
"SA3  5",61,51,2,8
"SA31 1",30,25,3,2
"SA31 2",29,16,13,0
"SA31 3",604,587,11,6
"SA32 7",21,14,4,3
"SA32 8",19,19,0,0
"SA33 4",91,89,1,1
"SA33 5",8,3,1,4
"SA33 6",35,30,3,2
"SA34 0",20,20,0,0
"SA35 0",2,0,1,1
"SA36 0",0,0,0,0
"SA37 0",3,2,0,1
"SA38 9",80,76,1,3
"SA39 9",23,17,0,6
"SA4  0",8,8,0,0
"SA4  3",39,36,0,3
"SA4  4",79,78,0,1
"SA4  6",0,0,0,0
"SA4  8",109,93,0,16
"SA4  9",14,14,0,0
"SA40 9",98,88,10,0
"SA41 3",0,0,0,0
"SA42 0",16,6,5,5
"SA43 1",38,33,4,1
"SA43 2",6,0,5,1
"SA43 3",43,41,2,0
"SA44 4",45,41,4,0
"SA44 5",57,53,0,4
"SA44 6",2,0,0,2
"SA45 9",14,0,14,0
"SA46 0",29,24,4,1
"SA47 0",1,1,0,0
"SA48 7",523,518,5,0
"SA48 8",11,0,9,2
"SA5  4",125,115,1,9
"SA5  5",18,18,0,0
"SA5  7",30,30,0,0
"SA5  8",44,43,0,1
"SA5  9",67,66,1,0
"SA6  5",44,43,1,0
"SA6  6",75,63,1,11
"SA6  7",66,65,1,0
"SA6  8",58,58,0,0
"SA61 1",36,28,6,2
"SA61 2",77,56,21,0
"SA62 3",175,141,16,18
"SA62 4",14,12,0,2
"SA62 5",98,67,21,10
"SA62 6",454,361,39,54
"SA63 4",0,0,0,0
"SA64 0",11,8,1,2
"SA65 9",81,70,4,7
"SA66 7",5,0,2,3
"SA67 7",23,17,0,6
"SA67 8",130,101,11,18
"SA68 0",53,49,4,0
"SA69 9",87,64,11,12
"SA7  0",1,0,1,0
"SA7  9",156,108,48,0
"SA70 7",104,24,48,32
"SA70 8",174,129,23,22
"SA71 4",123,102,7,14
"SA71 5",10,3,5,2
"SA72 4",0,0,0,0
"SA72 6",81,71,1,9
"SA73 1",62,49,5,8
"SA73 2",29,26,3,0
"SA73 3",2,2,0,0
"SA8  3",33,29,0,4
"SA8  4",114,111,0,3
"SA9  1",175,163,2,10
"SA9  2",28,24,1,3



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""

