
"KS402EW - Tenure"
"ONS Crown Copyright Reserved [from Nomis on 25 July 2018]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"postcode sector","All households","Owned: Owned outright","Owned: Owned with a mortgage or loan","Social rented: Rented from council (Local Authority)","Social rented: Other","Private rented: Private landlord or letting agency","Private rented: Other"
"CT15 7",1534,714,601,47,15,118,22
"CT16 1",1841,518,294,196,128,611,50
"CT16 2",4372,950,1347,693,462,742,85
"CT16 3",2342,1184,899,60,40,110,23
"CT17 0",5260,1329,1557,512,562,1112,91
"CT17 9",4154,1059,1364,360,264,1000,59
"CT18 7",4249,1484,1742,189,238,409,99
"CT18 8",1360,679,438,82,11,103,20
"CT19 4",3611,1082,1286,347,84,698,71
"CT19 5",4265,1341,1384,95,285,1034,74
"CT19 6",3901,939,1148,812,270,643,44
"CT2  0",2426,1035,858,190,38,201,46
"CT2  7",3487,883,563,309,509,1094,59
"CT2  8",3203,962,723,368,152,859,57
"CT2  9",1525,755,493,54,6,163,12
"CT20 1",3845,470,502,324,324,2101,81
"CT20 2",4044,1256,705,12,158,1760,61
"CT20 3",3286,1027,1055,149,204,628,161
"CT21 4",1853,980,631,31,27,124,26
"CT21 5",3028,1368,787,225,72,448,70
"CT21 6",3008,1260,784,353,92,407,46
"CT3  1",2441,942,787,173,119,313,46
"CT3  2",1332,500,436,108,83,142,24
"CT3  3",1757,443,612,386,129,115,28
"CT3  4",1402,452,545,132,22,189,24
"CT4  5",1679,726,555,82,25,223,27
"CT4  6",2107,1021,725,69,11,204,23
"CT4  7",2209,711,893,134,94,300,39
"CT4  8",795,325,243,90,22,82,15
"CT5  1",3440,1177,1195,198,98,657,58
"CT5  2",3776,1740,1220,249,42,406,55
"CT5  3",2753,1347,1109,21,24,184,29
"CT5  4",4553,2020,1463,387,105,431,67
"CT6  5",3464,899,988,272,182,1006,55
"CT6  6",4131,1936,1397,116,78,443,39
"CT6  7",5046,1892,2135,210,107,528,74
"CT6  8",3794,1571,1287,231,63,520,58
"CT7  0",1916,862,499,94,161,218,32
"CT7  9",3693,2039,974,38,73,467,45
"CT8  8",3382,1061,964,115,238,902,52
"CT9  1",3194,395,556,121,337,1665,76
"CT9  2",4561,899,1011,146,343,2016,80
"CT9  3",4844,1849,1301,667,401,507,50
"CT9  4",1701,502,537,49,184,274,122
"CT9  5",4507,1362,1584,164,398,877,68
"CV1  1",154,12,12,13,35,70,6
"CV1  2",2635,394,446,111,300,1268,65
"CV1  3",2178,154,210,173,671,834,49
"CV1  4",3571,491,484,206,809,1344,128
"CV1  5",3354,422,318,285,1008,1129,71
"CV10 0",5440,1915,2030,687,178,473,69
"CV10 7",4587,1392,1841,390,205,620,58
"CV10 8",5070,1396,1826,1028,97,600,53
"CV10 9",5639,1450,2506,657,209,661,65
"CV11 4",5201,1493,1832,735,317,650,95
"CV11 5",4932,1241,1326,607,369,1215,78
"CV11 6",6349,2973,2688,58,54,366,152
"CV12 0",3778,1330,1606,317,109,326,39
"CV12 8",4653,1622,1733,505,274,399,51
"CV12 9",5235,1996,1674,837,137,434,69
"CV13 0",2743,1103,994,206,79,281,27
"CV13 6",1753,782,674,68,28,134,36
"CV2  1",5232,989,864,1175,1502,551,44
"CV2  2",5219,1690,1869,100,470,885,72
"CV2  3",5315,1822,2053,189,227,876,81
"CV2  4",5642,1161,1322,218,577,2165,105
"CV2  5",4928,1619,1912,216,399,646,64
"CV21 1",4097,863,1532,642,439,480,40
"CV21 2",3718,808,1085,525,315,842,57
"CV21 3",4463,1039,1501,349,189,1191,93
"CV21 4",3303,1298,1192,437,57,231,35
"CV22 5",3634,1474,1426,134,146,305,68
"CV22 6",4603,1903,1362,617,140,428,47
"CV22 7",6193,1882,2466,356,560,728,46
"CV23 0",3852,1177,1739,201,125,514,44
"CV23 8",1883,855,714,67,90,112,17
"CV23 9",2799,1066,1060,296,68,229,26
"CV3  1",3557,655,972,353,653,763,58
"CV3  2",6618,2623,2631,217,484,511,64
"CV3  3",3680,536,698,757,1198,378,35
"CV3  4",2066,671,754,26,114,443,33
"CV3  5",5726,2194,1945,204,509,728,67
"CV3  6",4955,2399,1958,22,51,433,40
"CV31 1",4976,1247,1648,264,423,1223,57
"CV31 2",4830,1541,1669,540,181,770,52
"CV31 3",2983,445,668,554,223,998,44
"CV32 4",1516,388,350,168,102,462,17
"CV32 5",4031,931,1013,280,223,1417,74
"CV32 6",3194,1236,1136,53,150,546,37
"CV32 7",5837,2074,1976,1125,136,392,46
"CV33 9",2570,1028,958,119,179,201,23
"CV34 4",2704,732,707,261,144,709,50
"CV34 5",6209,1935,2192,875,312,731,83
"CV34 6",4797,1309,2131,338,238,576,49
"CV35 0",2432,944,801,36,323,243,23
"CV35 7",2177,766,937,71,67,246,28
"CV35 8",2401,1068,896,54,120,201,17
"CV35 9",3271,1259,1095,38,446,308,58
"CV36 4",2966,1178,923,44,409,279,32
"CV36 5",1256,539,354,11,153,141,21
"CV37 0",2828,870,886,53,508,380,23
"CV37 6",3506,1403,749,23,290,907,66
"CV37 7",3632,1451,1352,11,225,450,52
"CV37 8",2906,1126,979,32,330,310,42
"CV37 9",5118,2038,1606,63,673,599,45
"CV4  7",1668,765,499,24,68,219,64
"CV4  8",3016,664,862,425,577,389,38
"CV4  9",7299,1680,2510,575,1349,908,103
"CV47 0",956,312,308,19,233,50,6
"CV47 1",1822,689,719,13,184,173,19
"CV47 2",2047,654,834,16,202,232,77
"CV47 7",317,132,100,3,24,36,9
"CV47 8",981,359,373,8,96,102,18
"CV47 9",827,299,314,14,101,61,8
"CV5  6",5358,1685,1702,26,217,1480,166
"CV5  7",5116,2465,2033,19,47,465,38
"CV5  8",5284,1663,2114,105,177,1078,91
"CV5  9",4278,2092,1558,54,98,376,42
"CV6  1",5676,1922,2116,240,374,874,71
"CV6  2",4975,1927,1949,162,320,485,73
"CV6  3",4188,972,1491,259,297,1009,85
"CV6  4",5103,1452,1810,245,470,951,95
"CV6  5",4666,945,854,227,987,1435,95
"CV6  6",4391,1028,1634,90,364,1115,70
"CV6  7",4897,1339,1594,318,574,917,89
"CV7  7",4407,1882,1684,223,119,388,42
"CV7  8",3455,1135,1491,279,125,337,45
"CV7  9",3572,1510,1330,273,21,346,46
"CV8  1",4849,2157,1608,326,112,535,46
"CV8  2",5886,2490,2222,230,70,698,54
"CV8  3",2845,1102,1100,229,103,228,29
"CV9  1",2597,818,682,447,235,342,20
"CV9  2",3750,1251,1334,433,161,439,39
"CV9  3",2678,1049,968,304,59,196,48
"CW1  2",786,169,173,24,76,318,17
"CW1  3",7345,1618,2489,621,1153,1264,77
"CW1  4",4556,1120,2005,359,443,526,52
"CW1  5",4219,1872,1642,47,199,360,38
"CW1  6",516,252,201,1,8,38,6
"CW10 0",3101,1031,1425,133,227,234,19
"CW10 9",2890,906,1266,40,235,363,28
"CW11 1",3195,1427,1128,39,207,319,29
"CW11 2",798,363,296,11,44,57,10
"CW11 3",2931,1018,1408,14,96,332,37
"CW11 4",2766,1034,1001,89,333,226,33
"CW12 1",1846,559,554,47,305,310,36
"CW12 2",2103,889,739,48,199,172,17
"CW12 3",4177,1592,1617,114,439,320,34
"CW12 4",4580,2000,1659,67,352,382,45
"CW2  5",3454,1521,1384,22,93,341,47
"CW2  6",4314,1408,1671,193,302,656,40
"CW2  7",3928,959,1278,103,343,1140,55
"CW2  8",5607,2337,2129,291,430,328,36
"CW3  0",1178,590,368,9,58,97,19
"CW3  9",2748,1158,948,69,219,280,28
"CW4  7",2503,1157,938,29,122,193,19
"CW4  8",1472,758,521,15,90,58,4
"CW5  5",3860,1120,1071,179,647,671,62
"CW5  6",3297,1552,1163,23,99,347,54
"CW5  7",3861,1564,1697,49,128,349,39
"CW5  8",1797,773,639,39,85,196,36
"CW6  0",2918,1386,997,54,134,237,25
"CW6  9",2107,918,750,41,118,201,30
"CW7  1",3757,1097,1350,317,594,288,40
"CW7  2",4521,1152,1792,561,536,354,43
"CW7  3",3796,1027,1634,322,292,439,30
"CW7  4",792,244,282,22,54,158,18
"CW8  1",3772,1359,1387,183,260,484,45
"CW8  2",3786,1771,1416,93,132,266,40
"CW8  3",3065,1131,1097,312,249,191,29
"CW8  4",4437,1476,1917,179,205,538,51
"CW9  5",1527,359,465,152,207,291,20
"CW9  6",2410,1134,931,48,94,135,24
"CW9  7",4545,1300,1741,418,438,512,53
"CW9  8",5516,1753,2520,280,297,480,48
"DA1  1",3986,1103,1799,85,86,783,77
"DA1  2",4833,1034,1696,669,417,797,61
"DA1  3",4577,1629,2196,70,227,392,29
"DA1  4",3657,936,1422,119,684,365,34
"DA1  5",4714,802,1525,1209,297,664,51
"DA10 0",2840,503,898,708,116,524,40
"DA11 0",3595,872,933,141,207,1285,61
"DA11 7",3577,965,1255,612,203,449,35
"DA11 8",4237,1390,1531,611,173,420,29
"DA11 9",3784,583,971,766,180,1132,43
"DA12 1",2790,734,814,252,151,736,39
"DA12 2",3629,656,1010,656,168,973,49
"DA12 3",981,425,294,92,54,79,11
"DA12 4",5632,2014,2090,983,53,367,28
"DA12 5",5799,1601,2080,1232,174,547,57
"DA13 0",3534,1578,1540,123,19,193,35
"DA13 9",2184,1100,820,78,5,139,14
"DA14 4",4181,1617,1503,41,406,518,43
"DA14 5",1802,551,520,71,435,136,11
"DA14 6",3427,1004,962,65,822,485,33
"DA15 7",2129,824,961,3,64,213,19
"DA15 8",5780,2228,2810,39,123,450,53
"DA15 9",3494,1342,1671,11,95,328,17
"DA16 1",4688,1533,2281,42,315,406,36
"DA16 2",5423,2159,2571,28,177,378,35
"DA16 3",3558,1198,1408,76,436,343,40
"DA17 5",4333,1058,1697,86,590,775,69
"DA17 6",2613,745,984,49,353,403,29
"DA18 4",1962,175,392,119,1032,192,16
"DA2  6",3892,1083,1585,514,108,510,27
"DA2  7",4565,1696,1887,416,146,330,23
"DA2  8",650,206,285,101,6,40,7
"DA3  7",3244,1618,1078,75,185,194,22
"DA3  8",3544,1390,1562,10,185,300,38
"DA4  0",1351,575,496,9,95,116,15
"DA4  9",2557,824,1045,154,230,187,23
"DA5  1",2861,1187,1214,20,162,231,21
"DA5  2",2036,942,875,40,20,132,7
"DA5  3",3367,1468,1526,11,88,219,22
"DA6  7",1688,672,614,30,162,172,16
"DA6  8",2305,863,972,8,126,278,25
"DA7  4",5003,1957,2054,38,302,535,48
"DA7  5",4729,2365,2043,11,90,166,20
"DA7  6",4514,1724,2007,47,353,299,45
"DA8  1",5312,1184,1976,119,899,858,59
"DA8  2",4346,598,1342,265,1458,581,41
"DA8  3",4039,1085,1342,241,924,324,28
"DA9  9",5788,964,2494,315,297,1438,53
"DE1  1",2445,192,309,260,605,890,48
"DE1  2",1371,101,94,147,447,523,23
"DE1  3",2786,409,619,506,309,827,36
"DE11 0",6356,1989,2438,954,190,634,59
"DE11 7",4028,1374,1595,438,155,400,31
"DE11 8",2585,623,1122,260,91,411,24
"DE11 9",5386,1431,2408,343,187,853,78
"DE12 6",3173,1181,1226,396,63,238,28
"DE12 7",3759,1261,1378,553,84,395,40
"DE12 8",1552,657,547,134,22,134,16
"DE13 0",7858,2903,3029,320,597,819,72
"DE13 7",1699,763,633,21,126,107,28
"DE13 8",3365,1645,1187,52,117,279,46
"DE13 9",4164,1827,1449,119,307,345,38
"DE14 1",1287,219,328,26,235,426,18
"DE14 2",5148,1258,1391,288,656,1340,107
"DE14 3",5596,1531,1953,113,333,1476,112
"DE15 0",3925,1397,1239,264,556,366,48
"DE15 9",6315,2092,2254,425,787,615,61
"DE21 2",4336,1251,2280,30,89,582,52
"DE21 4",5417,1537,1969,1088,167,514,67
"DE21 5",1550,730,565,34,93,104,11
"DE21 6",7210,2095,2334,1837,179,574,70
"DE21 7",5405,2231,1973,434,199,411,61
"DE22 1",2879,950,999,112,259,478,26
"DE22 2",5956,3230,2075,94,22,416,45
"DE22 3",7804,1178,1565,861,1033,2840,162
"DE22 4",3343,1024,1018,879,104,213,37
"DE22 5",371,191,123,4,7,39,3
"DE23 1",3364,1355,1243,201,183,310,28
"DE23 2",1268,478,333,222,110,83,17
"DE23 3",2091,574,990,90,146,215,20
"DE23 4",1088,460,399,15,92,77,10
"DE23 6",6641,2194,2039,309,543,1333,96
"DE23 8",7269,1575,1444,1058,952,1932,104
"DE24 0",6795,2117,2444,950,481,591,69
"DE24 1",486,23,210,11,39,177,9
"DE24 3",2412,799,1135,94,50,286,23
"DE24 5",474,114,312,4,3,33,3
"DE24 8",6808,1167,1699,1699,634,1374,115
"DE24 9",5655,1370,1610,1274,657,544,69
"DE3  0",3454,1432,1407,84,105,347,30
"DE3  9",3702,1843,1424,26,88,248,30
"DE4  2",3958,1876,1157,149,248,374,60
"DE4  3",5439,2134,1670,281,634,577,60
"DE4  4",2999,1336,915,133,241,296,24
"DE4  5",2314,1110,677,81,139,216,43
"DE45 1",3908,1844,824,191,307,465,77
"DE5  3",5805,2193,1984,325,505,612,62
"DE5  8",1588,615,687,62,68,123,18
"DE5  9",2072,892,731,84,118,194,28
"DE55 1",2982,1286,1147,60,162,255,26
"DE55 2",3096,991,1121,394,85,418,38
"DE55 3",1591,504,803,28,36,191,8
"DE55 4",3716,1102,1226,296,509,475,53
"DE55 5",3489,1208,1331,588,9,247,38
"DE55 6",3170,1167,911,752,72,203,29
"DE55 7",4205,1392,1236,412,557,464,57
"DE56 0",5302,1991,2274,148,248,524,46
"DE56 1",5885,2174,2222,242,311,743,73
"DE56 2",3949,2010,1334,69,88,341,45
"DE56 4",2158,1039,726,57,81,194,14
"DE6  1",4741,1724,1386,317,464,628,44
"DE6  2",2225,1067,651,26,104,276,38
"DE6  3",1492,749,445,18,43,171,17
"DE6  4",449,196,122,8,23,81,4
"DE6  5",1613,734,507,26,51,217,31
"DE65 5",4754,1295,2450,196,86,608,56
"DE65 6",4541,2012,1656,246,36,395,83
"DE7  4",5392,1813,2048,323,613,476,40
"DE7  5",4353,1502,1539,120,301,764,52
"DE7  6",4454,1970,1711,118,259,294,32
"DE7  8",6005,1677,1920,526,839,844,81
"DE7  9",1226,290,782,9,15,114,6
"DE72 2",1780,806,706,85,19,119,23
"DE72 3",7049,2939,2573,224,478,641,72
"DE73 5",1746,455,944,37,38,200,15
"DE73 6",2672,881,1046,148,288,247,14
"DE73 7",792,331,251,24,22,127,17
"DE73 8",2593,968,871,209,52,420,30
"DE74 2",4919,1744,1791,448,56,722,74
"DE75 7",7791,2756,3007,426,530,840,86
"DH1  1",4065,1470,1044,575,116,753,49
"DH1  2",3729,1367,1070,249,501,469,37
"DH1  3",1596,482,279,188,13,527,46
"DH1  4",2710,879,690,62,98,904,36
"DH1  5",5975,2202,2281,519,180,662,71
"DH2  1",4665,1368,2089,294,460,369,47
"DH2  2",4552,1064,1578,602,922,270,56
"DH2  3",4209,1425,1717,245,391,345,33
"DH3  1",3195,704,1134,835,131,293,31
"DH3  2",2395,694,766,654,82,153,17
"DH3  3",3180,1239,1168,50,146,494,36
"DH3  4",2759,1180,1041,123,213,146,18
"DH4  4",3521,1111,1393,329,295,318,45
"DH4  5",3054,998,1034,424,362,178,29
"DH4  6",3834,1019,1417,530,400,389,30
"DH4  7",3864,1065,1641,438,374,276,45
"DH5  0",3156,836,841,580,523,308,33
"DH5  8",2518,808,837,296,316,208,24
"DH5  9",2993,1027,908,382,363,243,35
"DH6  1",3042,897,1200,628,60,188,33
"DH6  2",3990,1143,1387,664,306,376,42
"DH6  3",2476,756,758,564,97,226,16
"DH6  4",3080,946,1157,648,29,237,37
"DH6  5",2140,572,811,384,72,253,22
"DH7  0",2611,1119,907,190,165,159,28
"DH7  6",3750,1077,1433,455,428,274,48
"DH7  7",3484,882,1295,766,100,362,37
"DH7  8",4548,1146,1507,1071,251,469,53
"DH7  9",4262,1369,1541,536,281,413,47
"DH8  0",2994,1188,1189,131,159,266,32
"DH8  5",2839,823,1173,97,198,463,43
"DH8  6",3057,1022,1148,121,261,404,50
"DH8  7",3957,1143,1644,286,335,466,49
"DH8  8",2988,695,979,378,572,303,29
"DH8  9",1220,464,427,28,59,177,31
"DH9  0",2172,636,830,143,190,310,32
"DH9  6",4530,977,1386,946,688,446,45
"DH9  7",3704,1091,1194,253,296,761,66
"DH9  8",3028,804,1099,412,293,362,34
"DH9  9",3031,963,1161,302,277,262,30
"DL1  1",2397,638,674,439,197,383,33
"DL1  2",5243,1346,1676,1189,208,694,64
"DL1  3",3720,1394,1579,147,193,321,46
"DL1  4",6203,1415,2078,1083,240,1204,99
"DL1  5",2860,530,777,636,166,659,54
"DL10 4",2444,819,647,344,136,416,30
"DL10 5",1503,664,463,87,20,201,18
"DL10 6",1165,462,388,101,23,123,26
"DL10 7",2733,1045,930,139,102,281,184
"DL11 6",925,459,180,44,17,140,44
"DL11 7",1424,607,409,49,18,232,38
"DL12 0",1182,503,229,24,64,280,28
"DL12 8",3056,1242,728,53,483,425,50
"DL12 9",1153,530,328,9,67,151,19
"DL13 1",705,349,219,23,5,67,18
"DL13 2",1434,580,411,140,69,154,32
"DL13 3",1397,614,407,108,62,142,22
"DL13 4",1364,505,393,38,235,146,25
"DL13 5",1545,639,484,46,149,182,15
"DL14 0",2704,1001,1147,162,113,216,23
"DL14 6",5114,1734,1578,827,351,507,35
"DL14 7",2259,710,758,109,138,456,39
"DL14 8",3029,852,910,471,169,535,63
"DL14 9",3474,1005,1170,562,173,461,53
"DL15 0",3831,1151,1341,604,212,406,53
"DL15 8",2364,744,778,450,101,223,26
"DL15 9",3877,1207,1416,424,312,417,47
"DL16 6",5065,1626,1686,700,534,403,41
"DL16 7",3806,1150,1382,460,340,379,35
"DL17 0",2222,627,733,318,166,321,28
"DL17 8",4163,1115,1277,725,410,547,48
"DL17 9",1757,508,551,317,136,200,27
"DL2  1",2434,850,1075,137,12,296,28
"DL2  2",3041,1108,1074,112,83,474,120
"DL2  3",1778,725,451,51,155,303,33
"DL3  0",6553,1694,2755,631,392,920,89
"DL3  6",4234,835,1287,97,120,1727,111
"DL3  7",1982,515,602,52,149,585,49
"DL3  8",3291,1691,1195,18,167,159,14
"DL3  9",4153,1578,1378,645,62,372,46
"DL4  1",2321,742,741,277,183,325,22
"DL4  2",2308,489,613,536,247,371,21
"DL5  4",4033,1180,1649,542,211,369,48
"DL5  5",2869,660,970,613,335,215,36
"DL5  6",1707,749,700,84,25,108,23
"DL5  7",3991,793,1418,790,474,441,35
"DL6  1",3819,1231,1092,88,957,355,37
"DL6  2",1781,697,505,13,261,233,21
"DL6  3",1200,581,339,4,72,147,20
"DL7  0",1351,648,406,20,56,162,21
"DL7  8",3463,1345,1186,22,393,424,47
"DL7  9",1771,609,417,2,115,207,381
"DL8  1",1946,816,641,25,137,243,33
"DL8  2",1930,669,597,15,271,270,48
"DL8  3",1361,685,274,40,105,151,58
"DL8  4",1440,651,269,60,37,309,47
"DL8  5",1682,795,408,99,19,241,50
"DL9  3",1507,191,402,21,85,191,598
"DL9  4",2865,409,877,417,168,422,520
"DN1  1",139,17,14,3,7,91,2
"DN1  2",2814,519,531,56,281,1307,60
"DN1  3",1155,87,88,778,37,113,12
"DN10 4",2247,926,885,196,63,116,25
"DN10 5",661,297,218,74,14,43,4
"DN10 6",2282,910,807,158,75,255,25
"DN11 0",5537,1544,2198,987,45,600,68
"DN11 8",3469,1099,1231,534,122,370,56
"DN11 9",2981,1410,932,242,33,259,35
"DN12 1",3253,797,1117,648,114,470,45
"DN12 2",2412,811,957,318,10,234,30
"DN12 3",2476,743,901,345,69,338,32
"DN12 4",1962,253,374,1020,122,98,19
"DN14 0",2949,1104,1280,210,46,208,37
"DN14 5",3430,976,1010,524,155,673,38
"DN14 6",5444,1726,1874,640,85,959,64
"DN14 7",3036,1156,1160,180,21,423,33
"DN14 8",2007,723,764,214,33,213,24
"DN14 9",2535,987,1034,182,30,234,25
"DN15 0",427,142,168,5,19,78,5
"DN15 6",2259,303,405,264,454,746,34
"DN15 7",3359,867,1015,216,340,797,66
"DN15 8",4939,1512,1860,438,385,628,54
"DN15 9",4062,1602,1553,164,252,365,63
"DN16 1",3839,815,1249,545,627,482,49
"DN16 2",3882,1056,1295,424,533,436,62
"DN16 3",5858,2045,2480,232,294,655,70
"DN17 1",5069,1487,1701,643,658,456,47
"DN17 2",4780,1758,1664,490,390,372,52
"DN17 3",3148,1171,1235,137,201,301,43
"DN17 4",2679,898,1129,154,156,265,33
"DN18 5",3860,1323,1439,205,241,531,63
"DN18 6",1257,424,411,95,165,127,16
"DN19 7",2636,957,1114,75,135,293,18
"DN2  4",3186,793,1039,654,85,493,52
"DN2  5",3501,1308,1239,279,62,479,76
"DN2  6",3386,716,1079,1072,48,360,38
"DN20 0",2885,1101,1123,86,185,294,46
"DN20 8",2957,1023,994,162,296,379,48
"DN20 9",2350,930,844,100,110,296,19
"DN21 1",5071,1211,1493,451,1058,682,46
"DN21 2",3145,842,993,78,359,746,70
"DN21 3",3090,1291,1261,49,163,218,33
"DN21 4",2124,706,787,65,131,306,87
"DN21 5",2592,1037,908,32,100,389,50
"DN22 0",1821,786,684,74,49,148,38
"DN22 6",3319,954,949,520,164,635,42
"DN22 7",6641,2264,2321,986,228,633,84
"DN22 8",2028,843,710,156,38,194,33
"DN22 9",1330,640,453,54,28,99,27
"DN3  1",3590,1590,1423,191,28,279,28
"DN3  2",4898,1381,2049,564,85,669,60
"DN3  3",4337,1847,1634,285,60,398,55
"DN31 1",962,137,273,48,125,359,9
"DN31 2",3448,698,1024,105,275,1223,81
"DN31 3",147,2,4,22,61,52,3
"DN32 0",2765,773,1063,38,179,626,45
"DN32 7",3538,295,391,622,1356,758,50
"DN32 8",3589,1105,1438,60,165,728,54
"DN32 9",3545,675,1142,105,296,1200,75
"DN33 1",2850,426,625,605,850,288,14
"DN33 2",2147,974,851,25,41,151,71
"DN33 3",3149,1188,1312,74,230,242,41
"DN34 4",3684,1299,1529,45,151,568,63
"DN34 5",4596,1415,1672,395,538,428,67
"DN35 0",3805,1767,1412,72,184,302,28
"DN35 7",4968,1188,1839,31,190,1577,99
"DN35 8",3822,856,1206,75,240,1295,83
"DN35 9",2826,1068,869,191,431,187,34
"DN36 4",4709,2272,1849,45,158,272,62
"DN36 5",3523,1574,1397,39,129,286,48
"DN37 0",3388,1504,1297,57,181,265,40
"DN37 7",1467,568,640,34,63,128,12
"DN37 8",168,28,26,1,24,65,5
"DN37 9",4192,1248,1771,300,446,345,39
"DN38 6",1250,477,495,34,75,132,16
"DN39 6",1229,397,480,50,83,181,24
"DN4  0",4552,914,1366,664,323,1112,85
"DN4  5",2221,658,680,238,45,530,30
"DN4  6",4991,1683,1686,923,114,411,51
"DN4  7",3299,1571,1122,17,79,415,51
"DN4  8",3183,464,1153,454,125,860,53
"DN4  9",4440,1691,1582,568,55,385,69
"DN40 1",2333,615,794,237,386,247,34
"DN40 2",1806,611,674,90,196,202,15
"DN40 3",1165,437,456,54,82,99,19
"DN41 7",1149,458,558,6,19,88,9
"DN41 8",1474,617,574,22,87,113,18
"DN5  0",4181,987,1219,788,293,744,64
"DN5  7",3666,1715,1430,82,9,338,35
"DN5  8",4556,1669,1824,330,49,522,45
"DN5  9",4654,1357,1757,668,17,673,87
"DN6  0",2550,718,857,441,21,431,27
"DN6  7",4223,1019,1569,938,108,463,48
"DN6  8",3706,1053,1240,792,97,411,36
"DN6  9",2289,866,881,258,26,180,25
"DN7  4",3346,1032,1251,597,20,340,42
"DN7  5",2994,754,783,852,118,383,34
"DN7  6",2985,1317,1157,121,26,288,40
"DN8  4",4016,1216,1326,709,112,496,62
"DN8  5",3260,981,1105,465,114,468,56
"DN9  1",3621,1404,1459,151,195,297,41
"DN9  2",2100,978,810,71,75,101,21
"DN9  3",2556,949,1123,52,108,247,28
"DT1  1",2977,1016,625,29,721,474,43
"DT1  2",4453,1751,1558,32,535,446,45
"DT1  3",1019,341,240,4,190,199,8
"DT10 1",2720,1159,716,32,412,299,37
"DT10 2",2459,1170,702,19,281,206,30
"DT11 0",2756,1119,763,27,398,263,71
"DT11 7",4560,1354,1606,64,777,609,64
"DT11 8",2800,1078,642,19,252,295,438
"DT11 9",2007,761,617,24,271,210,59
"DT2  0",1591,661,403,6,144,287,26
"DT2  7",2465,1090,659,21,200,325,65
"DT2  8",3409,1416,1037,32,358,342,78
"DT2  9",3281,1376,973,25,336,422,42
"DT3  4",2455,978,768,14,264,329,38
"DT3  5",3890,1557,1422,79,239,475,48
"DT3  6",3767,1791,1021,225,339,291,37
"DT4  0",5511,1656,1774,445,746,717,71
"DT4  7",3672,1187,846,75,225,1158,92
"DT4  8",2314,731,417,93,205,746,53
"DT4  9",5258,2191,1783,180,432,545,65
"DT5  1",2491,781,711,153,301,480,36
"DT5  2",2684,1019,1013,84,165,322,38
"DT6  3",3038,1308,675,21,462,452,50
"DT6  4",2798,1756,575,5,142,228,31
"DT6  5",2625,986,625,45,584,268,49
"DT6  6",1669,946,334,5,166,145,27
"DT7  3",2643,1367,581,45,281,259,40
"DT8  3",2776,1383,574,30,374,290,46
"DT9  3",1586,642,187,14,282,350,30
"DT9  4",2480,1120,575,22,333,333,32
"DT9  5",2174,965,570,31,225,270,38
"DT9  6",2891,1390,776,24,353,233,37
"DY1  1",389,34,62,58,91,122,9
"DY1  2",5912,1558,1894,1279,383,563,91
"DY1  3",4300,908,1478,1192,178,355,17
"DY1  4",2231,658,692,588,44,181,19
"DY10 1",3229,908,1182,97,128,790,64
"DY10 2",4769,1460,1687,442,355,707,58
"DY10 3",4595,1753,1355,483,494,358,42
"DY10 4",3068,1185,1111,90,284,322,37
"DY11 5",4228,1919,1528,159,236,290,40
"DY11 6",5570,1819,1827,376,551,855,52
"DY11 7",3152,830,922,535,494,273,37
"DY12 1",2262,976,635,125,172,259,41
"DY12 2",2768,1357,849,60,103,309,36
"DY12 3",596,390,123,6,11,44,4
"DY13 0",3015,1336,851,289,268,192,28
"DY13 8",3912,1697,1357,127,193,443,42
"DY13 9",2866,1049,1050,99,134,435,28
"DY14 0",729,405,203,4,5,74,10
"DY14 8",1531,576,454,35,185,216,21
"DY14 9",1210,615,374,23,70,92,14
"DY2  0",4356,1178,1255,1311,90,382,28
"DY2  7",2915,644,767,942,112,320,28
"DY2  8",2661,732,759,573,119,389,30
"DY2  9",3638,1093,1128,837,116,364,27
"DY3  1",3960,1172,1177,894,257,271,23
"DY3  2",5010,1611,1542,1125,234,326,39
"DY3  3",4713,2612,1506,274,78,160,23
"DY3  4",739,359,200,10,84,63,7
"DY4  0",5476,1448,1546,1626,296,398,32
"DY4  7",4004,652,1499,932,120,652,39
"DY4  8",4485,1164,1381,978,254,503,29
"DY4  9",3167,497,826,1308,157,307,13
"DY5  1",2642,627,775,751,94,306,24
"DY5  2",5779,1885,2035,1080,48,491,66
"DY5  3",5215,1286,2105,943,111,594,47
"DY5  4",3545,1012,1029,1014,60,299,25
"DY6  0",1695,860,582,145,6,72,6
"DY6  7",1729,834,713,44,9,94,13
"DY6  8",4462,1823,1752,498,18,273,28
"DY6  9",3581,2030,1255,81,10,157,15
"DY7  5",866,373,225,2,56,159,18
"DY7  6",2640,1230,846,28,282,195,21
"DY8  1",2493,646,744,484,71,428,26
"DY8  2",2499,1274,896,55,56,171,22
"DY8  3",5427,2184,1965,707,19,414,44
"DY8  4",5864,1978,2150,685,358,501,52
"DY8  5",5440,2185,2117,570,80,367,45
"DY9  0",4448,2431,1602,27,31,290,22
"DY9  7",2202,713,632,529,77,170,13
"DY9  8",2211,618,634,369,105,408,34
"DY9  9",3343,1079,1061,732,64,294,39
"E1   0",3862,278,536,1106,977,776,55
"E1   1",2448,158,259,283,428,1208,31
"E1   2",2819,168,321,601,719,760,51
"E1   3",2638,216,431,694,582,588,51
"E1   4",4971,371,583,1461,964,1127,200
